,movie,year,imdb,metascore,votes
140,Lawless,(2012),7.3,58,226606
141,Hotel Transylvania,(2012),7.1,47,222486
142,Sinister,(I) (2012),6.8,53,219993
143,Safe House,(2012),6.7,52,204728
144,American Reunion,(2012),6.7,49,201939
145,The Impossible,(2012),7.6,73,198491
146,Ice Age: Continental Drift,(2012),6.6,49,190131
147,The Dark Knight Rises,(2012),8.4,78,1502088
148,Django Unchained,(2012),8.4,81,1341171
149,Avengers Assemble,(2012),8.0,69,1252368
150,The Hunger Games,(2012),7.2,68,839443
151,The Hobbit: An Unexpected Journey,(2012),7.8,58,751976
152,Silver Linings Playbook,(2012),7.7,81,657079
153,Skyfall,(2012),7.7,81,626452
154,Life of Pi,(2012),7.9,79,576305
155,Argo,(2012),7.7,86,568575
156,Ted,(2012),6.9,62,566810
157,Prometheus,(I) (2012),7.0,64,565659
158,The Amazing Spider-Man,(2012),6.9,66,555142
159,Looper,(2012),7.4,84,531331
160,21 Jump Street,(2012),7.2,69,507337
161,The Perks of Being a Wallflower,(2012),8.0,67,457943
162,Wreck-It Ralph,(2012),7.7,72,376497
163,Brave,(2012),7.1,69,369278
164,Cloud Atlas,(2012),7.4,55,343041
165,Men in Black 3,(2012),6.8,58,333204
166,Flight,(I) (2012),7.3,76,323367
167,Moonrise Kingdom,(2012),7.8,84,316010
168,Les Misérables,(2012),7.6,63,306540
169,Jack Reacher,(2012),7.0,50,305914
170,The Expendables 2,(2012),6.6,51,290664
171,Taken 2,(2012),6.3,45,287959
172,The Bourne Legacy,(2012),6.6,61,283377
173,The Hunt,(2012),8.3,77,276170
174,The Dictator,(2012),6.4,58,275938
175,Pitch Perfect,(2012),7.1,66,274892
176,Snow White and the Huntsman,(2012),6.1,57,271790
177,Zero Dark Thirty,(2012),7.4,95,269718
178,John Carter,(2012),6.6,51,253603
179,Dredd,(2012),7.1,60,249129
180,Dark Shadows,(2012),6.2,55,245991
181,The Place Beyond the Pines,(2012),7.3,68,244331
182,Lincoln,(2012),7.3,86,242962
183,Seven Psychopaths,(2012),7.2,66,239548
184,Total Recall,(I) (2012),6.3,43,239148
185,Chronicle,(2012),7.0,69,238782
186,Battleship,(2012),5.8,41,235214
187,The Twilight Saga: Breaking Dawn - Part 2,(2012),5.5,52,229910
188,End of Watch,(2012),7.6,68,226618
189,Lawless,(2012),7.3,58,226606
190,Hotel Transylvania,(2012),7.1,47,222486
191,Sinister,(I) (2012),6.8,53,219993
192,Safe House,(2012),6.7,52,204728
193,American Reunion,(2012),6.7,49,201939
194,The Impossible,(2012),7.6,73,198491
195,Ice Age: Continental Drift,(2012),6.6,49,190131
196,The Wolf of Wall Street,(2013),8.2,75,1166054
197,Gravity,(2013),7.7,96,763660
198,Iron Man Three,(2013),7.2,62,748607
199,Man of Steel,(2013),7.0,55,685321
200,12 Years a Slave,(2013),8.1,96,633928
201,The Hunger Games: Catching Fire,(2013),7.5,76,609745
202,World War Z,(2013),7.0,63,597122
203,The Hobbit: The Desolation of Smaug,(2013),7.8,66,596428
204,Prisoners,(2013),8.1,70,592871
205,Now You See Me,(I) (2013),7.3,50,591869
206,Thor: The Dark World,(2013),6.9,54,589810
207,Frozen,(I) (2013),7.4,75,567470
208,Her,(2013),8.0,90,534213
209,Oblivion,(I) (2013),7.0,54,482827
210,The Great Gatsby,(2013),7.2,55,473343
211,Pacific Rim,(2013),6.9,65,463201
212,Star Trek into Darkness,(2013),7.7,72,461227
213,American Hustle,(2013),7.2,90,445391
214,The Conjuring,(2013),7.5,68,438478
215,Dallas Buyers Club,(2013),8.0,80,436727
216,Rush,(I) (2013),8.1,74,428970
217,The Wolverine,(2013),6.7,61,426770
218,Captain Phillips,(2013),7.8,82,417224
219,Elysium,(I) (2013),6.6,61,417081
220,We're the Millers,(2013),7.0,44,400934
221,This Is the End,(2013),6.6,67,381631
222,Despicable Me 2,(2013),7.3,62,367081
223,Furious 6,(2013),7.1,61,366196
224,Monsters University,(2013),7.3,65,318806
225,Snowpiercer,(2013),7.1,84,314486
226,About Time,(I) (2013),7.8,55,297261
227,The Secret Life of Walter Mitty,(2013),7.3,54,291467
228,The Hangover Part III,(2013),5.8,30,291259
229,Lone Survivor,(2013),7.5,60,264384
230,The World's End,(2013),7.0,81,258000
231,Olympus Has Fallen,(2013),6.5,41,255299
232,Kick-Ass 2,(2013),6.5,41,253381
233,Don Jon,(2013),6.5,66,227618
234,Escape Plan,(2013),6.7,49,225835
235,Ender's Game,(2013),6.6,51,222139
236,The Lone Ranger,(2013),6.4,37,220072
237,Warm Bodies,(2013),6.8,60,218291
238,Gangster Squad,(2013),6.7,40,205542
239,The Wolf of Wall Street,(2013),8.2,75,1166054
240,Gravity,(2013),7.7,96,763660
241,Iron Man Three,(2013),7.2,62,748607
242,Man of Steel,(2013),7.0,55,685321
243,12 Years a Slave,(2013),8.1,96,633928
244,The Hunger Games: Catching Fire,(2013),7.5,76,609745
245,World War Z,(2013),7.0,63,597122
246,The Hobbit: The Desolation of Smaug,(2013),7.8,66,596428
247,Prisoners,(2013),8.1,70,592871
248,Now You See Me,(I) (2013),7.3,50,591869
249,Thor: The Dark World,(2013),6.9,54,589810
250,Frozen,(I) (2013),7.4,75,567470
251,Her,(2013),8.0,90,534213
252,Oblivion,(I) (2013),7.0,54,482827
253,The Great Gatsby,(2013),7.2,55,473343
254,Pacific Rim,(2013),6.9,65,463201
255,Star Trek into Darkness,(2013),7.7,72,461227
256,American Hustle,(2013),7.2,90,445391
257,The Conjuring,(2013),7.5,68,438478
258,Dallas Buyers Club,(2013),8.0,80,436727
259,Rush,(I) (2013),8.1,74,428970
260,The Wolverine,(2013),6.7,61,426770
261,Captain Phillips,(2013),7.8,82,417224
262,Elysium,(I) (2013),6.6,61,417081
263,We're the Millers,(2013),7.0,44,400934
264,This Is the End,(2013),6.6,67,381631
265,Despicable Me 2,(2013),7.3,62,367081
266,Furious 6,(2013),7.1,61,366196
267,Monsters University,(2013),7.3,65,318806
268,Snowpiercer,(2013),7.1,84,314486
269,About Time,(I) (2013),7.8,55,297261
270,The Secret Life of Walter Mitty,(2013),7.3,54,291467
271,The Hangover Part III,(2013),5.8,30,291259
272,Lone Survivor,(2013),7.5,60,264384
273,The World's End,(2013),7.0,81,258000
274,Olympus Has Fallen,(2013),6.5,41,255299
275,Kick-Ass 2,(2013),6.5,41,253381
276,Don Jon,(2013),6.5,66,227618
277,Escape Plan,(2013),6.7,49,225835
278,Ender's Game,(2013),6.6,51,222139
279,The Lone Ranger,(2013),6.4,37,220072
280,Warm Bodies,(2013),6.8,60,218291
281,Gangster Squad,(2013),6.7,40,205542
282,The Wolf of Wall Street,(2013),8.2,75,1166054
283,Gravity,(2013),7.7,96,763660
284,Iron Man Three,(2013),7.2,62,748607
285,Man of Steel,(2013),7.0,55,685321
286,12 Years a Slave,(2013),8.1,96,633928
287,The Hunger Games: Catching Fire,(2013),7.5,76,609745
288,World War Z,(2013),7.0,63,597122
289,The Hobbit: The Desolation of Smaug,(2013),7.8,66,596428
290,Prisoners,(2013),8.1,70,592871
291,Now You See Me,(I) (2013),7.3,50,591869
292,Thor: The Dark World,(2013),6.9,54,589810
293,Frozen,(I) (2013),7.4,75,567470
294,Her,(2013),8.0,90,534213
295,Oblivion,(I) (2013),7.0,54,482827
296,The Great Gatsby,(2013),7.2,55,473343
297,Pacific Rim,(2013),6.9,65,463201
298,Star Trek into Darkness,(2013),7.7,72,461227
299,American Hustle,(2013),7.2,90,445391
300,The Conjuring,(2013),7.5,68,438478
301,Dallas Buyers Club,(2013),8.0,80,436727
302,Rush,(I) (2013),8.1,74,428970
303,The Wolverine,(2013),6.7,61,426770
304,Captain Phillips,(2013),7.8,82,417224
305,Elysium,(I) (2013),6.6,61,417081
306,We're the Millers,(2013),7.0,44,400934
307,This Is the End,(2013),6.6,67,381631
308,Despicable Me 2,(2013),7.3,62,367081
309,Furious 6,(2013),7.1,61,366196
310,Monsters University,(2013),7.3,65,318806
311,Snowpiercer,(2013),7.1,84,314486
312,About Time,(I) (2013),7.8,55,297261
313,The Secret Life of Walter Mitty,(2013),7.3,54,291467
314,The Hangover Part III,(2013),5.8,30,291259
315,Lone Survivor,(2013),7.5,60,264384
316,The World's End,(2013),7.0,81,258000
317,Olympus Has Fallen,(2013),6.5,41,255299
318,Kick-Ass 2,(2013),6.5,41,253381
319,Don Jon,(2013),6.5,66,227618
320,Escape Plan,(2013),6.7,49,225835
321,Ender's Game,(2013),6.6,51,222139
322,The Lone Ranger,(2013),6.4,37,220072
323,Warm Bodies,(2013),6.8,60,218291
324,Gangster Squad,(2013),6.7,40,205542
325,The Wolf of Wall Street,(2013),8.2,75,1166054
326,Gravity,(2013),7.7,96,763660
327,Iron Man Three,(2013),7.2,62,748607
328,Man of Steel,(2013),7.0,55,685321
329,12 Years a Slave,(2013),8.1,96,633928
330,The Hunger Games: Catching Fire,(2013),7.5,76,609745
331,World War Z,(2013),7.0,63,597122
332,The Hobbit: The Desolation of Smaug,(2013),7.8,66,596428
333,Prisoners,(2013),8.1,70,592871
334,Now You See Me,(I) (2013),7.3,50,591869
335,Thor: The Dark World,(2013),6.9,54,589810
336,Frozen,(I) (2013),7.4,75,567470
337,Her,(2013),8.0,90,534213
338,Oblivion,(I) (2013),7.0,54,482827
339,The Great Gatsby,(2013),7.2,55,473343
340,Pacific Rim,(2013),6.9,65,463201
341,Star Trek into Darkness,(2013),7.7,72,461227
342,American Hustle,(2013),7.2,90,445391
343,The Conjuring,(2013),7.5,68,438478
344,Dallas Buyers Club,(2013),8.0,80,436727
345,Rush,(I) (2013),8.1,74,428970
346,The Wolverine,(2013),6.7,61,426770
347,Captain Phillips,(2013),7.8,82,417224
348,Elysium,(I) (2013),6.6,61,417081
349,We're the Millers,(2013),7.0,44,400934
350,This Is the End,(2013),6.6,67,381631
351,Despicable Me 2,(2013),7.3,62,367081
352,Furious 6,(2013),7.1,61,366196
353,Monsters University,(2013),7.3,65,318806
354,Snowpiercer,(2013),7.1,84,314486
355,About Time,(I) (2013),7.8,55,297261
356,The Secret Life of Walter Mitty,(2013),7.3,54,291467
357,The Hangover Part III,(2013),5.8,30,291259
358,Lone Survivor,(2013),7.5,60,264384
359,The World's End,(2013),7.0,81,258000
360,Olympus Has Fallen,(2013),6.5,41,255299
361,Kick-Ass 2,(2013),6.5,41,253381
362,Don Jon,(2013),6.5,66,227618
363,Escape Plan,(2013),6.7,49,225835
364,Ender's Game,(2013),6.6,51,222139
365,The Lone Ranger,(2013),6.4,37,220072
366,Warm Bodies,(2013),6.8,60,218291
367,Gangster Squad,(2013),6.7,40,205542
368,Interstellar,(2014),8.6,74,1487139
369,Guardians of the Galaxy,(2014),8.0,76,1034807
370,Gone Girl,(2014),8.1,79,849085
371,Captain America: The Winter Soldier,(2014),7.7,70,728779
372,Whiplash,(2014),8.5,88,706342
373,The Grand Budapest Hotel,(2014),8.1,88,698931
374,The Imitation Game,(2014),8.0,73,677995
375,X-Men: Days of Future Past,(2014),7.9,75,656015
376,Edge of Tomorrow,(2014),7.9,71,594477
