,movie,year,imdb,metascore,votes
585,Tomorrowland: A World Beyond,(2015),6.4,60,171004
586,Black Mass,(2015),6.9,68,166827
587,The Danish Girl,(2015),7.1,66,162324
588,Cinderella,(I) (2015),6.9,67,158842
589,Legend,(I) (2015),6.9,55,156787
590,The Age of Adaline,(2015),7.2,51,153014
591,Steve Jobs,(2015),7.2,82,152925
592,Fantastic Four,(2015),4.3,27,151160
593,Mad Max: Fury Road,(2015),8.1,90,871573
594,Star Wars: Episode VII - The Force Awakens,(2015),7.9,80,853527
595,The Martian,(2015),8.0,80,752138
596,Avengers: Age of Ultron,(2015),7.3,66,733119
597,The Revenant,(2015),8.0,76,696652
598,Inside Out,(I) (2015),8.1,94,604616
599,Jurassic World,(2015),7.0,59,575313
600,Ant-Man,(2015),7.3,64,563130
601,The Hateful Eight,(2015),7.8,68,509159
602,Spotlight,(I) (2015),8.1,93,414902
603,Spectre,(I) (2015),6.8,60,381415
604,Sicario,(2015),7.6,82,367007
605,Room,(I) (2015),8.1,86,365618
606,Fast & Furious 7,(2015),7.1,67,356935
607,The Big Short,(2015),7.8,81,356752
608,Mission: Impossible - Rogue Nation,(2015),7.4,75,339147
609,Fifty Shades of Grey,(2015),4.1,46,295961
610,Bridge of Spies,(2015),7.6,81,284910
611,The Hunger Games: Mockingjay - Part 2,(2015),6.6,65,283317
612,The Man from U.N.C.L.E.,(2015),7.3,56,271017
613,Terminator Genisys,(2015),6.3,38,257871
614,Creed,(II) (2015),7.6,82,245232
615,Chappie,(2015),6.8,41,228340
616,Spy,(2015),7.0,75,228265
617,Maze Runner: The Scorch Trials,(2015),6.3,43,219509
618,The Intern,(I) (2015),7.1,51,217482
619,Insurgent,(2015),6.2,42,216022
620,Focus,(II) (2015),6.6,56,216008
621,Southpaw,(2015),7.4,57,215863
622,The Lobster,(2015),7.2,82,215725
623,San Andreas,(2015),6.1,43,210684
624,Minions,(2015),6.4,56,210429
625,The Witch,(2015),6.9,83,196945
626,Everest,(2015),7.1,64,195343
627,Ted 2,(2015),6.3,48,183102
628,Straight Outta Compton,(2015),7.8,72,177988
629,Jupiter Ascending,(2015),5.3,40,177924
630,Tomorrowland: A World Beyond,(2015),6.4,60,171004
631,Black Mass,(2015),6.9,68,166827
632,The Danish Girl,(2015),7.1,66,162324
633,Cinderella,(I) (2015),6.9,67,158842
634,Legend,(I) (2015),6.9,55,156787
635,The Age of Adaline,(2015),7.2,51,153014
636,Steve Jobs,(2015),7.2,82,152925
637,Fantastic Four,(2015),4.3,27,151160
638,Mad Max: Fury Road,(2015),8.1,90,871573
639,Star Wars: Episode VII - The Force Awakens,(2015),7.9,80,853527
640,The Martian,(2015),8.0,80,752138
641,Avengers: Age of Ultron,(2015),7.3,66,733119
642,The Revenant,(2015),8.0,76,696652
643,Inside Out,(I) (2015),8.1,94,604616
644,Jurassic World,(2015),7.0,59,575313
645,Ant-Man,(2015),7.3,64,563130
646,The Hateful Eight,(2015),7.8,68,509159
647,Spotlight,(I) (2015),8.1,93,414902
648,Spectre,(I) (2015),6.8,60,381415
649,Sicario,(2015),7.6,82,367007
650,Room,(I) (2015),8.1,86,365618
651,Fast & Furious 7,(2015),7.1,67,356935
652,The Big Short,(2015),7.8,81,356752
653,Mission: Impossible - Rogue Nation,(2015),7.4,75,339147
654,Fifty Shades of Grey,(2015),4.1,46,295961
655,Bridge of Spies,(2015),7.6,81,284910
656,The Hunger Games: Mockingjay - Part 2,(2015),6.6,65,283317
657,The Man from U.N.C.L.E.,(2015),7.3,56,271017
658,Terminator Genisys,(2015),6.3,38,257871
659,Creed,(II) (2015),7.6,82,245232
660,Chappie,(2015),6.8,41,228340
661,Spy,(2015),7.0,75,228265
662,Maze Runner: The Scorch Trials,(2015),6.3,43,219509
663,The Intern,(I) (2015),7.1,51,217482
664,Insurgent,(2015),6.2,42,216022
665,Focus,(II) (2015),6.6,56,216008
666,Southpaw,(2015),7.4,57,215863
667,The Lobster,(2015),7.2,82,215725
668,San Andreas,(2015),6.1,43,210684
669,Minions,(2015),6.4,56,210429
670,The Witch,(2015),6.9,83,196945
671,Everest,(2015),7.1,64,195343
672,Ted 2,(2015),6.3,48,183102
673,Straight Outta Compton,(2015),7.8,72,177988
674,Jupiter Ascending,(2015),5.3,40,177924
675,Tomorrowland: A World Beyond,(2015),6.4,60,171004
676,Black Mass,(2015),6.9,68,166827
677,The Danish Girl,(2015),7.1,66,162324
678,Cinderella,(I) (2015),6.9,67,158842
679,Legend,(I) (2015),6.9,55,156787
680,The Age of Adaline,(2015),7.2,51,153014
681,Steve Jobs,(2015),7.2,82,152925
682,Fantastic Four,(2015),4.3,27,151160
683,Mad Max: Fury Road,(2015),8.1,90,871573
684,Star Wars: Episode VII - The Force Awakens,(2015),7.9,80,853527
685,The Martian,(2015),8.0,80,752138
686,Avengers: Age of Ultron,(2015),7.3,66,733119
687,The Revenant,(2015),8.0,76,696652
688,Inside Out,(I) (2015),8.1,94,604616
689,Jurassic World,(2015),7.0,59,575313
690,Ant-Man,(2015),7.3,64,563130
691,The Hateful Eight,(2015),7.8,68,509159
692,Spotlight,(I) (2015),8.1,93,414902
693,Spectre,(I) (2015),6.8,60,381415
694,Sicario,(2015),7.6,82,367007
695,Room,(I) (2015),8.1,86,365618
696,Fast & Furious 7,(2015),7.1,67,356935
697,The Big Short,(2015),7.8,81,356752
698,Mission: Impossible - Rogue Nation,(2015),7.4,75,339147
699,Fifty Shades of Grey,(2015),4.1,46,295961
700,Bridge of Spies,(2015),7.6,81,284910
701,The Hunger Games: Mockingjay - Part 2,(2015),6.6,65,283317
702,The Man from U.N.C.L.E.,(2015),7.3,56,271017
703,Terminator Genisys,(2015),6.3,38,257871
704,Creed,(II) (2015),7.6,82,245232
705,Chappie,(2015),6.8,41,228340
706,Spy,(2015),7.0,75,228265
707,Maze Runner: The Scorch Trials,(2015),6.3,43,219509
708,The Intern,(I) (2015),7.1,51,217482
709,Insurgent,(2015),6.2,42,216022
710,Focus,(II) (2015),6.6,56,216008
711,Southpaw,(2015),7.4,57,215863
712,The Lobster,(2015),7.2,82,215725
713,San Andreas,(2015),6.1,43,210684
714,Minions,(2015),6.4,56,210429
715,The Witch,(2015),6.9,83,196945
716,Everest,(2015),7.1,64,195343
717,Ted 2,(2015),6.3,48,183102
718,Straight Outta Compton,(2015),7.8,72,177988
719,Jupiter Ascending,(2015),5.3,40,177924
720,Tomorrowland: A World Beyond,(2015),6.4,60,171004
721,Black Mass,(2015),6.9,68,166827
722,The Danish Girl,(2015),7.1,66,162324
723,Cinderella,(I) (2015),6.9,67,158842
724,Legend,(I) (2015),6.9,55,156787
725,The Age of Adaline,(2015),7.2,51,153014
726,Steve Jobs,(2015),7.2,82,152925
727,Fantastic Four,(2015),4.3,27,151160
728,Deadpool,(2016),8.0,65,894398
729,Captain America: Civil War,(2016),7.8,75,655464
730,Batman v Superman: Dawn of Justice,(2016),6.4,44,619237
731,Suicide Squad,(2016),6.0,40,594654
732,Doctor Strange,(2016),7.5,72,589956
733,Arrival,(II) (2016),7.9,81,586700
734,Rogue One,(2016),7.8,65,547655
735,La La Land,(2016),8.0,94,497865
736,Hacksaw Ridge,(2016),8.1,71,428710
737,Zootropolis,(2016),8.0,78,428552
738,Split,(IX) (2016),7.3,62,417697
739,Fantastic Beasts and Where to Find Them,(2016),7.3,66,406056
740,X-Men: Apocalypse,(2016),6.9,52,389705
741,Passengers,(I) (2016),7.0,41,346027
742,10 Cloverfield Lane,(2016),7.2,76,287768
743,The Nice Guys,(2016),7.4,70,276081
744,Moonlight,(I) (2016),7.4,99,269639
745,Moana,(I) (2016),7.6,81,267704
746,The Accountant,(2016),7.3,51,257633
747,The Jungle Book,(2016),7.4,77,257310
748,Now You See Me 2,(2016),6.5,46,245986
749,Manchester by the Sea,(2016),7.8,96,243566
750,Warcraft: The Beginning,(2016),6.8,32,240244
751,Finding Dory,(2016),7.3,77,237519
752,Nocturnal Animals,(2016),7.5,67,234617
753,Sully: Miracle on the Hudson,(2016),7.4,74,234391
754,Star Trek Beyond,(2016),7.1,68,226032
755,The Conjuring 2,(2016),7.3,65,223066
756,Don't Breathe,(2016),7.1,71,218350
757,Lion,(2016),8.0,69,211038
758,Jason Bourne,(I) (2016),6.6,58,206637
759,Me Before You,(2016),7.4,51,205641
760,Ghostbusters,(2016),6.6,60,202756
761,Hell or High Water,(II) (2016),7.6,88,201785
762,Hidden Figures,(2016),7.8,74,197644
763,Your Name.,(2016),8.4,79,188484
764,Captain Fantastic,(2016),7.9,72,186409
765,Assassin's Creed,(2016),5.7,36,184079
766,The Magnificent Seven,(2016),6.9,54,183625
767,The Secret Life of Pets,(2016),6.5,61,181449
768,War Dogs,(2016),7.1,57,175462
769,Sausage Party,(2016),6.1,66,174312
770,The Promise,(II) (2016),6.0,49,172272
771,The Girl on the Train,(2016),6.5,48,167559
772,Independence Day: Resurgence,(2016),5.2,32,165699
773,The Legend of Tarzan,(2016),6.2,44,162293
774,Deadpool,(2016),8.0,65,894398
775,Captain America: Civil War,(2016),7.8,75,655464
776,Batman v Superman: Dawn of Justice,(2016),6.4,44,619237
777,Suicide Squad,(2016),6.0,40,594654
778,Doctor Strange,(2016),7.5,72,589956
779,Arrival,(II) (2016),7.9,81,586700
780,Rogue One,(2016),7.8,65,547655
781,La La Land,(2016),8.0,94,497865
782,Hacksaw Ridge,(2016),8.1,71,428710
783,Zootropolis,(2016),8.0,78,428552
784,Split,(IX) (2016),7.3,62,417697
785,Fantastic Beasts and Where to Find Them,(2016),7.3,66,406056
786,X-Men: Apocalypse,(2016),6.9,52,389705
787,Passengers,(I) (2016),7.0,41,346027
788,10 Cloverfield Lane,(2016),7.2,76,287768
789,The Nice Guys,(2016),7.4,70,276081
790,Moonlight,(I) (2016),7.4,99,269639
791,Moana,(I) (2016),7.6,81,267704
792,The Accountant,(2016),7.3,51,257633
793,The Jungle Book,(2016),7.4,77,257310
794,Now You See Me 2,(2016),6.5,46,245986
795,Manchester by the Sea,(2016),7.8,96,243566
796,Warcraft: The Beginning,(2016),6.8,32,240244
797,Finding Dory,(2016),7.3,77,237519
798,Nocturnal Animals,(2016),7.5,67,234617
799,Sully: Miracle on the Hudson,(2016),7.4,74,234391
800,Star Trek Beyond,(2016),7.1,68,226032
801,The Conjuring 2,(2016),7.3,65,223066
802,Don't Breathe,(2016),7.1,71,218350
803,Lion,(2016),8.0,69,211038
804,Jason Bourne,(I) (2016),6.6,58,206637
805,Me Before You,(2016),7.4,51,205641
806,Ghostbusters,(2016),6.6,60,202756
807,Hell or High Water,(II) (2016),7.6,88,201785
808,Hidden Figures,(2016),7.8,74,197644
809,Your Name.,(2016),8.4,79,188484
810,Captain Fantastic,(2016),7.9,72,186409
811,Assassin's Creed,(2016),5.7,36,184079
812,The Magnificent Seven,(2016),6.9,54,183625
813,The Secret Life of Pets,(2016),6.5,61,181449
814,War Dogs,(2016),7.1,57,175462
815,Sausage Party,(2016),6.1,66,174312
816,The Promise,(II) (2016),6.0,49,172272
817,The Girl on the Train,(2016),6.5,48,167559
818,Independence Day: Resurgence,(2016),5.2,32,165699
819,The Legend of Tarzan,(2016),6.2,44,162293
820,Deadpool,(2016),8.0,65,894398
821,Captain America: Civil War,(2016),7.8,75,655464
822,Batman v Superman: Dawn of Justice,(2016),6.4,44,619237
823,Suicide Squad,(2016),6.0,40,594654
824,Doctor Strange,(2016),7.5,72,589956
825,Arrival,(II) (2016),7.9,81,586700
826,Rogue One,(2016),7.8,65,547655
827,La La Land,(2016),8.0,94,497865
828,Hacksaw Ridge,(2016),8.1,71,428710
829,Zootropolis,(2016),8.0,78,428552
830,Split,(IX) (2016),7.3,62,417697
831,Fantastic Beasts and Where to Find Them,(2016),7.3,66,406056
832,X-Men: Apocalypse,(2016),6.9,52,389705
833,Passengers,(I) (2016),7.0,41,346027
834,10 Cloverfield Lane,(2016),7.2,76,287768
835,The Nice Guys,(2016),7.4,70,276081
836,Moonlight,(I) (2016),7.4,99,269639
837,Moana,(I) (2016),7.6,81,267704
838,The Accountant,(2016),7.3,51,257633
839,The Jungle Book,(2016),7.4,77,257310
840,Now You See Me 2,(2016),6.5,46,245986
841,Manchester by the Sea,(2016),7.8,96,243566
842,Warcraft: The Beginning,(2016),6.8,32,240244
843,Finding Dory,(2016),7.3,77,237519
844,Nocturnal Animals,(2016),7.5,67,234617
845,Sully: Miracle on the Hudson,(2016),7.4,74,234391
846,Star Trek Beyond,(2016),7.1,68,226032
847,The Conjuring 2,(2016),7.3,65,223066
848,Don't Breathe,(2016),7.1,71,218350
849,Lion,(2016),8.0,69,211038
850,Jason Bourne,(I) (2016),6.6,58,206637
851,Me Before You,(2016),7.4,51,205641
852,Ghostbusters,(2016),6.6,60,202756
853,Hell or High Water,(II) (2016),7.6,88,201785
854,Hidden Figures,(2016),7.8,74,197644
855,Your Name.,(2016),8.4,79,188484
856,Captain Fantastic,(2016),7.9,72,186409
857,Assassin's Creed,(2016),5.7,36,184079
858,The Magnificent Seven,(2016),6.9,54,183625
859,The Secret Life of Pets,(2016),6.5,61,181449
860,War Dogs,(2016),7.1,57,175462
861,Sausage Party,(2016),6.1,66,174312
862,The Promise,(II) (2016),6.0,49,172272
863,The Girl on the Train,(2016),6.5,48,167559
864,Independence Day: Resurgence,(2016),5.2,32,165699
865,The Legend of Tarzan,(2016),6.2,44,162293
866,Deadpool,(2016),8.0,65,894398
867,Captain America: Civil War,(2016),7.8,75,655464
868,Batman v Superman: Dawn of Justice,(2016),6.4,44,619237
869,Suicide Squad,(2016),6.0,40,594654
870,Doctor Strange,(2016),7.5,72,589956
871,Arrival,(II) (2016),7.9,81,586700
872,Rogue One,(2016),7.8,65,547655
873,La La Land,(2016),8.0,94,497865
874,Hacksaw Ridge,(2016),8.1,71,428710
875,Zootropolis,(2016),8.0,78,428552
876,Split,(IX) (2016),7.3,62,417697
877,Fantastic Beasts and Where to Find Them,(2016),7.3,66,406056
878,X-Men: Apocalypse,(2016),6.9,52,389705
879,Passengers,(I) (2016),7.0,41,346027
880,10 Cloverfield Lane,(2016),7.2,76,287768
881,The Nice Guys,(2016),7.4,70,276081
882,Moonlight,(I) (2016),7.4,99,269639
883,Moana,(I) (2016),7.6,81,267704
884,The Accountant,(2016),7.3,51,257633
885,The Jungle Book,(2016),7.4,77,257310
886,Now You See Me 2,(2016),6.5,46,245986
887,Manchester by the Sea,(2016),7.8,96,243566
888,Warcraft: The Beginning,(2016),6.8,32,240244
889,Finding Dory,(2016),7.3,77,237519
890,Nocturnal Animals,(2016),7.5,67,234617
891,Sully: Miracle on the Hudson,(2016),7.4,74,234391
892,Star Trek Beyond,(2016),7.1,68,226032
893,The Conjuring 2,(2016),7.3,65,223066
894,Don't Breathe,(2016),7.1,71,218350
895,Lion,(2016),8.0,69,211038
896,Jason Bourne,(I) (2016),6.6,58,206637
897,Me Before You,(2016),7.4,51,205641
898,Ghostbusters,(2016),6.6,60,202756
899,Hell or High Water,(II) (2016),7.6,88,201785
900,Hidden Figures,(2016),7.8,74,197644
901,Your Name.,(2016),8.4,79,188484
902,Captain Fantastic,(2016),7.9,72,186409
903,Assassin's Creed,(2016),5.7,36,184079
904,The Magnificent Seven,(2016),6.9,54,183625
905,The Secret Life of Pets,(2016),6.5,61,181449
906,War Dogs,(2016),7.1,57,175462
907,Sausage Party,(2016),6.1,66,174312
908,The Promise,(II) (2016),6.0,49,172272
909,The Girl on the Train,(2016),6.5,48,167559
910,Independence Day: Resurgence,(2016),5.2,32,165699
911,The Legend of Tarzan,(2016),6.2,44,162293
912,Logan,(2017),8.1,77,639799
913,Thor: Ragnarok,(2017),7.9,74,577941
914,Guardians of the Galaxy: Vol. 2,(2017),7.6,67,561610
915,Star Wars: Episode VIII - The Last Jedi,(2017),7.0,84,556801
916,Dunkirk,(2017),7.9,94,545583
917,Wonder Woman,(2017),7.4,76,544571
918,Spider-Man: Homecoming,(2017),7.4,73,504370
919,Get Out,(I) (2017),7.7,85,485114
920,It,(I) (2017),7.3,69,454506
921,Blade Runner 2049,(2017),8.0,81,453427
922,Baby Driver,(2017),7.6,86,432432
923,"Three Billboards Outside Ebbing, Missouri",(2017),8.2,88,422817
924,Justice League,(2017),6.3,45,378201
925,Coco,(I) (2017),8.4,81,368847
926,The Shape of Water,(2017),7.3,87,364860
927,John Wick: Chapter 2,(2017),7.5,75,360549
928,Jumanji: Welcome to the Jungle,(2017),6.9,58,315327
929,Beauty and the Beast,(I) (2017),7.1,65,269999
930,Kingsman: The Golden Circle,(2017),6.7,44,269305
931,Kong: Skull Island,(2017),6.6,62,265630
932,Pirates of the Caribbean: Salazar's Revenge,(2017),6.5,39,259994
933,Alien: Covenant,(2017),6.4,65,252029
934,Lady Bird,(2017),7.4,94,236595
935,The Greatest Showman,(2017),7.6,48,233326
936,War for the Planet of the Apes,(2017),7.4,82,225660
937,Murder on the Orient Express,(2017),6.5,52,209988
938,Call Me by Your Name,(2017),7.9,93,207159
939,Life,(I) (2017),6.6,54,205612
940,Fast & Furious 8,(2017),6.7,56,202401
941,Wind River,(2017),7.7,73,200142
942,Ghost in the Shell,(2017),6.3,52,194271
943,King Arthur: Legend of the Sword,(2017),6.7,41,189945
944,Mother!,(2017),6.6,75,188943
945,The Hitman's Bodyguard,(2017),6.9,47,184510
946,"I, Tonya",(2017),7.5,77,178579
947,Atomic Blonde,(2017),6.7,63,174228
948,The Mummy,(2017),5.4,34,171501
949,Darkest Hour,(2017),7.4,75,169728
950,Bright,(I) (2017),6.3,29,167100
951,Valerian and the City of a Thousand Planets,(2017),6.5,51,160478
952,Baywatch,(2017),5.5,37,158917
953,American Made,(2017),7.2,65,156784
954,Logan,(2017),8.1,77,639799
955,Thor: Ragnarok,(2017),7.9,74,577941
956,Guardians of the Galaxy: Vol. 2,(2017),7.6,67,561610
957,Star Wars: Episode VIII - The Last Jedi,(2017),7.0,84,556801
958,Dunkirk,(2017),7.9,94,545583
959,Wonder Woman,(2017),7.4,76,544571
960,Spider-Man: Homecoming,(2017),7.4,73,504370
961,Get Out,(I) (2017),7.7,85,485114
962,It,(I) (2017),7.3,69,454506
963,Blade Runner 2049,(2017),8.0,81,453427
964,Baby Driver,(2017),7.6,86,432432
965,"Three Billboards Outside Ebbing, Missouri",(2017),8.2,88,422817
966,Justice League,(2017),6.3,45,378201
967,Coco,(I) (2017),8.4,81,368847
968,The Shape of Water,(2017),7.3,87,364860
969,John Wick: Chapter 2,(2017),7.5,75,360549
970,Jumanji: Welcome to the Jungle,(2017),6.9,58,315327
971,Beauty and the Beast,(I) (2017),7.1,65,269999
972,Kingsman: The Golden Circle,(2017),6.7,44,269305
973,Kong: Skull Island,(2017),6.6,62,265630
974,Pirates of the Caribbean: Salazar's Revenge,(2017),6.5,39,259994
975,Alien: Covenant,(2017),6.4,65,252029
976,Lady Bird,(2017),7.4,94,236595
977,The Greatest Showman,(2017),7.6,48,233326
978,War for the Planet of the Apes,(2017),7.4,82,225660
979,Murder on the Orient Express,(2017),6.5,52,209988
980,Call Me by Your Name,(2017),7.9,93,207159
981,Life,(I) (2017),6.6,54,205612
982,Fast & Furious 8,(2017),6.7,56,202401
983,Wind River,(2017),7.7,73,200142
984,Ghost in the Shell,(2017),6.3,52,194271
985,King Arthur: Legend of the Sword,(2017),6.7,41,189945
986,Mother!,(2017),6.6,75,188943
987,The Hitman's Bodyguard,(2017),6.9,47,184510
988,"I, Tonya",(2017),7.5,77,178579
989,Atomic Blonde,(2017),6.7,63,174228
990,The Mummy,(2017),5.4,34,171501
991,Darkest Hour,(2017),7.4,75,169728
992,Bright,(I) (2017),6.3,29,167100
993,Valerian and the City of a Thousand Planets,(2017),6.5,51,160478
994,Baywatch,(2017),5.5,37,158917
995,American Made,(2017),7.2,65,156784
996,Logan,(2017),8.1,77,639799
997,Thor: Ragnarok,(2017),7.9,74,577941
998,Guardians of the Galaxy: Vol. 2,(2017),7.6,67,561610
999,Star Wars: Episode VIII - The Last Jedi,(2017),7.0,84,556801
1000,Dunkirk,(2017),7.9,94,545583
1001,Wonder Woman,(2017),7.4,76,544571
1002,Spider-Man: Homecoming,(2017),7.4,73,504370
1003,Get Out,(I) (2017),7.7,85,485114
1004,It,(I) (2017),7.3,69,454506
1005,Blade Runner 2049,(2017),8.0,81,453427
1006,Baby Driver,(2017),7.6,86,432432
1007,"Three Billboards Outside Ebbing, Missouri",(2017),8.2,88,422817
1008,Justice League,(2017),6.3,45,378201
1009,Coco,(I) (2017),8.4,81,368847
1010,The Shape of Water,(2017),7.3,87,364860
1011,John Wick: Chapter 2,(2017),7.5,75,360549
1012,Jumanji: Welcome to the Jungle,(2017),6.9,58,315327
1013,Beauty and the Beast,(I) (2017),7.1,65,269999
1014,Kingsman: The Golden Circle,(2017),6.7,44,269305
1015,Kong: Skull Island,(2017),6.6,62,265630
1016,Pirates of the Caribbean: Salazar's Revenge,(2017),6.5,39,259994
1017,Alien: Covenant,(2017),6.4,65,252029
1018,Lady Bird,(2017),7.4,94,236595
1019,The Greatest Showman,(2017),7.6,48,233326
1020,War for the Planet of the Apes,(2017),7.4,82,225660
1021,Murder on the Orient Express,(2017),6.5,52,209988
1022,Call Me by Your Name,(2017),7.9,93,207159
1023,Life,(I) (2017),6.6,54,205612
1024,Fast & Furious 8,(2017),6.7,56,202401
1025,Wind River,(2017),7.7,73,200142
1026,Ghost in the Shell,(2017),6.3,52,194271
1027,King Arthur: Legend of the Sword,(2017),6.7,41,189945
1028,Mother!,(2017),6.6,75,188943
1029,The Hitman's Bodyguard,(2017),6.9,47,184510
1030,"I, Tonya",(2017),7.5,77,178579
1031,Atomic Blonde,(2017),6.7,63,174228
1032,The Mummy,(2017),5.4,34,171501
1033,Darkest Hour,(2017),7.4,75,169728
1034,Bright,(I) (2017),6.3,29,167100
1035,Valerian and the City of a Thousand Planets,(2017),6.5,51,160478
1036,Baywatch,(2017),5.5,37,158917
1037,American Made,(2017),7.2,65,156784
1038,Logan,(2017),8.1,77,639799
1039,Thor: Ragnarok,(2017),7.9,74,577941
1040,Guardians of the Galaxy: Vol. 2,(2017),7.6,67,561610
1041,Star Wars: Episode VIII - The Last Jedi,(2017),7.0,84,556801
1042,Dunkirk,(2017),7.9,94,545583
1043,Wonder Woman,(2017),7.4,76,544571
1044,Spider-Man: Homecoming,(2017),7.4,73,504370
1045,Get Out,(I) (2017),7.7,85,485114
1046,It,(I) (2017),7.3,69,454506
1047,Blade Runner 2049,(2017),8.0,81,453427
1048,Baby Driver,(2017),7.6,86,432432
1049,"Three Billboards Outside Ebbing, Missouri",(2017),8.2,88,422817
1050,Justice League,(2017),6.3,45,378201
1051,Coco,(I) (2017),8.4,81,368847
1052,The Shape of Water,(2017),7.3,87,364860
1053,John Wick: Chapter 2,(2017),7.5,75,360549
1054,Jumanji: Welcome to the Jungle,(2017),6.9,58,315327
1055,Beauty and the Beast,(I) (2017),7.1,65,269999
1056,Kingsman: The Golden Circle,(2017),6.7,44,269305
1057,Kong: Skull Island,(2017),6.6,62,265630
1058,Pirates of the Caribbean: Salazar's Revenge,(2017),6.5,39,259994
1059,Alien: Covenant,(2017),6.4,65,252029
1060,Lady Bird,(2017),7.4,94,236595
1061,The Greatest Showman,(2017),7.6,48,233326
1062,War for the Planet of the Apes,(2017),7.4,82,225660
1063,Murder on the Orient Express,(2017),6.5,52,209988
1064,Call Me by Your Name,(2017),7.9,93,207159
1065,Life,(I) (2017),6.6,54,205612
1066,Fast & Furious 8,(2017),6.7,56,202401
1067,Wind River,(2017),7.7,73,200142
1068,Ghost in the Shell,(2017),6.3,52,194271
1069,King Arthur: Legend of the Sword,(2017),6.7,41,189945
1070,Mother!,(2017),6.6,75,188943
1071,The Hitman's Bodyguard,(2017),6.9,47,184510
1072,"I, Tonya",(2017),7.5,77,178579
1073,Atomic Blonde,(2017),6.7,63,174228
1074,The Mummy,(2017),5.4,34,171501
1075,Darkest Hour,(2017),7.4,75,169728
1076,Bright,(I) (2017),6.3,29,167100
1077,Valerian and the City of a Thousand Planets,(2017),6.5,51,160478
1078,Baywatch,(2017),5.5,37,158917
1079,American Made,(2017),7.2,65,156784
1080,Avengers: Infinity War,(2018),8.4,68,818269
1081,Black Panther,(2018),7.3,88,617122
1082,Deadpool 2,(2018),7.7,66,471500
1083,Bohemian Rhapsody,(2018),8.0,49,443037
1084,A Quiet Place,(2018),7.5,82,402235
1085,Aquaman,(2018),6.9,55,362844
1086,Ready Player One,(2018),7.5,64,362814
1087,Spider-Man: Into the Spider-Verse,(2018),8.4,87,361491
1088,Green Book,(2018),8.2,69,360830
1089,Venom,(2018),6.7,35,354994
1090,A Star Is Born,(2018),7.6,88,328005
1091,Ant-Man and the Wasp,(2018),7.1,70,303436
1092,Mission: Impossible - Fallout,(2018),7.7,86,287413
1093,Solo: A Star Wars Story,(2018),6.9,62,285582
1094,Annihilation,(2018),6.8,79,277439
1095,Bird Box,(2018),6.6,51,274727
1096,Jurassic World: Fallen Kingdom,(2018),6.2,51,262778
1097,The Incredibles 2,(2018),7.6,80,245285
1098,Hereditary,(2018),7.3,87,235065
1099,Fantastic Beasts: The Crimes of Grindelwald,(2018),6.6,52,218355
1100,BlacKkKlansman,(2018),7.5,83,217722
1101,Game Night,(I) (2018),6.9,66,204092
1102,Tomb Raider,(2018),6.3,48,188749
1103,Ocean's Eight,(2018),6.9,61,182763
1104,The Favourite,(2018),7.5,91,168929
1105,First Man,(2018),7.3,84,165462
1106,Red Sparrow,(2018),6.6,53,163431
1107,Upgrade,(2018),7.5,67,155866
1108,The Meg,(2018),5.6,46,147855
1109,Rampage,(2018),6.1,45,141663
1110,Crazy Rich Asians,(2018),6.9,74,138781
1111,Searching,(III) (2018),7.6,71,138154
1112,Roma,(2018),7.7,96,138088
1113,Isle of Dogs,(2018),7.9,82,136387
1114,Bumblebee,(I) (2018),6.8,66,135937
1115,The Equalizer 2,(2018),6.7,50,130538
1116,Ralph Breaks the Internet,(2018),7.1,71,128528
1117,Bad Times at the El Royale,(2018),7.1,60,126722
1118,A Simple Favour,(2018),6.8,67,125927
1119,Sicario: Day of the Soldado,(2018),7.1,61,123298
1120,Halloween,(I) (2018),6.5,67,119743
1121,The Ballad of Buster Scruggs,(2018),7.3,79,119591
1122,Vice,(I) (2018),7.2,61,118702
1123,The Nun,(2018),5.3,46,116802
1124,The Predator,(2018),5.3,48,115180
1125,Tag,(I) (2018),6.5,56,112083
1126,Avengers: Infinity War,(2018),8.4,68,818269
1127,Black Panther,(2018),7.3,88,617122
1128,Deadpool 2,(2018),7.7,66,471500
1129,Bohemian Rhapsody,(2018),8.0,49,443037
1130,A Quiet Place,(2018),7.5,82,402235
1131,Aquaman,(2018),6.9,55,362844
1132,Ready Player One,(2018),7.5,64,362814
1133,Spider-Man: Into the Spider-Verse,(2018),8.4,87,361491
1134,Green Book,(2018),8.2,69,360830
1135,Venom,(2018),6.7,35,354994
1136,A Star Is Born,(2018),7.6,88,328005
1137,Ant-Man and the Wasp,(2018),7.1,70,303436
1138,Mission: Impossible - Fallout,(2018),7.7,86,287413
1139,Solo: A Star Wars Story,(2018),6.9,62,285582
1140,Annihilation,(2018),6.8,79,277439
1141,Bird Box,(2018),6.6,51,274727
1142,Jurassic World: Fallen Kingdom,(2018),6.2,51,262778
1143,The Incredibles 2,(2018),7.6,80,245285
1144,Hereditary,(2018),7.3,87,235065
1145,Fantastic Beasts: The Crimes of Grindelwald,(2018),6.6,52,218355
1146,BlacKkKlansman,(2018),7.5,83,217722
1147,Game Night,(I) (2018),6.9,66,204092
1148,Tomb Raider,(2018),6.3,48,188749
1149,Ocean's Eight,(2018),6.9,61,182763
1150,The Favourite,(2018),7.5,91,168929
1151,First Man,(2018),7.3,84,165462
1152,Red Sparrow,(2018),6.6,53,163431
